Package,Test Type,Samples,Source Facility,Hub,Final Destination,Region,Picked By,Event Source,Event Destination,Event Date,Event By,Event Status,Date Picked From Facilty,Date Delivered,Date Received At Final Destination
L2403044741,EID HIV,1,Masiyompo H/C III,Budadiri H/C IV,UNHLS,Karamoja,clement baraza,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 14:58,15/11/2024 07:01,\N
L2403044745,VL DBS,1,Bugitimwa H/C III,Budadiri H/C IV,UNHLS,Karamoja,clement baraza,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 15:00,15/11/2024 07:01,15/11/2024 19:11
L2403097765,EID HIV,4,Muyembe  H/C IV,Kapchorwa Hospital,UNHLS,Karamoja,David Chekwurui,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 15:00,15/11/2024 07:01,\N
L2403137874,EID HIV,1,Gamogo H/C III,Kapchorwa Hospital,UNHLS,Karamoja,Shedrack Kiprotich,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 15:09,15/11/2024 07:01,\N
L2403044681,VL PLASMA,9,Sironko H/C III,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,\N
L2403044680,EID HIV,3,Sironko H/C III,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,\N
L2403044747,VL DBS,1,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,15/11/2024 19:11
L2403044746,EID HIV,4,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,\N
L2403044748,VL PLASMA,1,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,15/11/2024 14:11
L2403044749,HIV DR,2,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,\N
L2403044750,VL PLASMA,2,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,\N
L2403044751,VL PLASMA,3,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,Ivan Wohanze,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:31,15/11/2024 07:01,\N
L2403080520,VL PLASMA,1,Tororo  Lab Hub,Tororo  Lab Hub,UNHLS,Karamoja,MUKETA SIMON,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:33,15/11/2024 07:01,15/11/2024 14:11
L2403044753,EQA - Responses,54,Budadiri H/C IV,Budadiri H/C IV,UNHLS,Karamoja,MUKETA SIMON,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 18:45,15/11/2024 07:01,\N
L2403137878,VL DBS,1,Kapchorwa Hospital,Kapchorwa Hospital,UNHLS,Karamoja,MUKETA SIMON,UNHLS,UNHLS,15/11/2024 07:01,MUKETA SIMON,Delivered,14/11/2024 20:24,15/11/2024 07:01,15/11/2024 19:11
L2403150739,VL PLASMA,2,Nabingo HC II,Entebbe Grade B Hospital,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Entebbe Grade B Hospital,Entebbe Grade A Hospital,15/11/2024 07:06,Ssekajja Joshua,Delivered,14/11/2024 17:46,\N,\N
L2403150700,VL PLASMA,38,NSANGI HCIII,Wakiso H/C IV,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Entebbe Grade B Hospital,Entebbe Grade A Hospital,15/11/2024 07:06,Ssekajja Joshua,Delivered,14/11/2024 18:16,\N,\N
L2403150699,EID HIV,3,NSANGI HCIII,Wakiso H/C IV,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Entebbe Grade B Hospital,Entebbe Grade A Hospital,15/11/2024 07:06,Ssekajja Joshua,Delivered,14/11/2024 18:17,\N,\N
L2403150698,VL DBS,1,NSANGI HCIII,Wakiso H/C IV,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Entebbe Grade B Hospital,Entebbe Grade A Hospital,15/11/2024 07:06,Ssekajja Joshua,Delivered,14/11/2024 18:18,\N,16/11/2024 04:11
L2403147775,VL PLASMA,1,Entebbe Grade A Hospital,Entebbe Grade B Hospital,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Entebbe Grade A Hospital,Entebbe Grade A Hospital,15/11/2024 07:07,Ssekajja Joshua,Picked,15/11/2024 07:07,\N,15/11/2024 22:11
L2403147775,VL PLASMA,1,Entebbe Grade A Hospital,Entebbe Grade B Hospital,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Entebbe Grade B Hospital,Entebbe Grade A Hospital,15/11/2024 07:07,Ssekajja Joshua,Delivered,15/11/2024 07:07,\N,15/11/2024 22:11
L2403135914,VL PLASMA,1,Kilembe Mines Hospital,Kilembe Mines Hospital,UNHLS,Lango,Baluku William,Kilembe Mines Hospital,UNHLS,15/11/2024 07:09,ZZIWA NELSON,Picked,14/11/2024 18:45,\N,15/11/2024 22:11
L2403135913,EID HIV,2,Kilembe Mines Hospital,Kilembe Mines Hospital,UNHLS,Lango,Baluku William,Kilembe Mines Hospital,UNHLS,15/11/2024 07:09,ZZIWA NELSON,Picked,14/11/2024 18:44,20/11/2024 01:17,\N
L2403135943,CD4/CD8,3,Buhaghura H/C III,Kilembe Mines Hospital,UNHLS,Lango,Moses Asiimwe,Kilembe Mines Hospital,UNHLS,15/11/2024 07:09,ZZIWA NELSON,Picked,14/11/2024 18:36,\N,\N
L2310038259,VL DBS,1,Kigarama H/C III,Kitagata  Hospital,UNHLS,Teso,Muhumuza Samson,UNHLS,UNHLS,15/11/2024 07:10,\N,Received,13/11/2024 11:37,15/11/2024 02:35,15/11/2024 07:11
L2310133512,VL DBS,1,Lwamaggwa H/C III,Rakai Hospital,Rakai Hospital,Central,NTEGE MICHEAL,UNHLS,UNHLS,15/11/2024 07:12,\N,Received,13/11/2024 17:22,\N,15/11/2024 07:11
L2403090817,VL DBS,1,Kyetume H/C III (Lwengo),Lwengo H/C IV,UNHLS,Central,Mulaliira Fred,UNHLS,UNHLS,15/11/2024 07:13,\N,Received,12/11/2024 16:38,15/11/2024 02:34,15/11/2024 07:11
L2403146304,VL DBS,1,Kakoma H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,UNHLS,UNHLS,15/11/2024 07:14,\N,Received,12/11/2024 11:49,12/11/2024 13:50,15/11/2024 07:11
L2403066520,VL DBS,1,Kanywambogo H/C III,Ruhoko H/C IV,UNHLS,Teso,Augustine Kamugisha,UNHLS,UNHLS,15/11/2024 07:19,\N,Received,13/11/2024 17:13,15/11/2024 02:40,15/11/2024 07:11
L2403066526,VL DBS,1,Kanungu H/C IV,Kanungu H/C IV,UNHLS,Rwenzori,Augustine Kamugisha,UNHLS,UNHLS,15/11/2024 07:21,\N,Received,11/11/2024 14:46,\N,15/11/2024 07:11
L2403075390,VL DBS,1,Rubindi H/C III,Mbarara R R Hospital,Rubindi H/C III,Teso,Muhwezi Bronnex,UNHLS,UNHLS,15/11/2024 07:22,\N,Received,12/11/2024 10:28,\N,15/11/2024 07:11
L2403126306,VL DBS,1,Lyantonde Muslim H/C III,Lyantonde Hospital,UNHLS,Central,Bukenya Ronnie,UNHLS,UNHLS,15/11/2024 07:27,\N,Received,14/11/2024 18:54,15/11/2024 02:41,15/11/2024 07:11
L2403146308,VL DBS,1,Nyarubungo H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:28,\N,18/11/2024 14:11
L2403146309,EID HIV,1,Kikokwa  H/C   III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:47,\N,\N
L2403146310,VL DBS,1,Kikokwa  H/C   III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:48,\N,18/11/2024 14:11
L2403146311,VL PLASMA,2,Kikokwa  H/C   III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:48,\N,\N
L2403146308,VL DBS,1,Nyarubungo H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:28,\N,18/11/2024 14:11
L2403146313,VL PLASMA,1,Nyamuyanja H/C IV,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 10:25,\N,18/11/2024 19:11
L2403146312,EID HIV,1,Nyamuyanja H/C IV,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 10:25,\N,\N
L2403146309,EID HIV,1,Kikokwa  H/C   III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:47,\N,\N
L2403146310,VL DBS,1,Kikokwa  H/C   III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:48,\N,18/11/2024 14:11
L2403146311,VL PLASMA,2,Kikokwa  H/C   III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 09:48,\N,\N
L2403146312,EID HIV,1,Nyamuyanja H/C IV,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 10:25,\N,\N
L2403146313,VL PLASMA,1,Nyamuyanja H/C IV,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 10:25,\N,18/11/2024 19:11
L2403146312,EID HIV,1,Nyamuyanja H/C IV,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 10:25,\N,\N
L2403146315,VL DBS,1,Kakoma H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 11:28,\N,18/11/2024 14:11
L2403146316,EID HIV,4,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:28,\N,\N
L2403146312,EID HIV,1,Nyamuyanja H/C IV,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 10:25,\N,\N
L2403146318,VL PLASMA,8,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,\N
L2403146317,VL PLASMA,1,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,18/11/2024 19:11
L2403146315,VL DBS,1,Kakoma H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 11:28,\N,18/11/2024 14:11
L2403146316,EID HIV,4,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:28,\N,\N
L2403146318,VL PLASMA,8,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,\N
L2403146317,VL PLASMA,1,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,18/11/2024 19:11
L2403146315,VL DBS,1,Kakoma H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 11:28,\N,18/11/2024 14:11
L2403146316,EID HIV,4,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:28,\N,\N
L2403146318,VL PLASMA,8,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,\N
L2403146317,VL PLASMA,1,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,18/11/2024 19:11
L2403146315,VL DBS,1,Kakoma H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 11:28,\N,18/11/2024 14:11
L2403146316,EID HIV,4,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:28,\N,\N
L2403146318,VL PLASMA,8,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,\N
L2403146317,VL PLASMA,1,Kyabirukwa H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:30,Bigirwamukama Anthony,Delivered,14/11/2024 12:29,\N,18/11/2024 19:11
L2403146307,EID HIV,5,Nyarubungo H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,Rwekubo H/C IV,15/11/2024 07:34,Bigirwamukama Anthony,Delivered,14/11/2024 09:27,\N,\N
L2403146319,Genexpert,4,Kyabirukwa H/C III,Rwekubo H/C IV,UNHLS,Teso,Bigirwamukama Anthony,Kyabirukwa H/C III,UNHLS,15/11/2024 07:34,Bigirwamukama Anthony,Delivered,14/11/2024 12:31,\N,\N
UNHLS1590655,VL DBS,1,Kyamuhunga H/C III,Bushenyi H/C IV,Bushenyi H/C IV,Teso,Jackson Muhwezi,UNHLS,UNHLS,15/11/2024 07:34,\N,Received,13/11/2024 10:33,21/11/2024 10:05,15/11/2024 07:11
L2310041443,VL DBS,1,Nshungyezi H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,ROBERT BWAMBALE,UNHLS,UNHLS,15/11/2024 07:37,\N,Received,12/11/2024 11:59,15/11/2024 10:43,15/11/2024 07:11
L2403144768,VL DBS,1,Rwenshama H/C III,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,UNHLS,UNHLS,15/11/2024 07:38,\N,Received,13/11/2024 14:11,\N,15/11/2024 07:11
L2403162390,VL PLASMA,1,Buvuma H/C IV,Buvuma H/C IV,UNHLS,Busoga,Muganda Joseph,Buvuma H/C IV,UNHLS,15/11/2024 07:40,Muganda Joseph,Picked,15/11/2024 07:40,20/11/2024 09:37,20/11/2024 05:11
L2403162388,VL DBS,1,Buvuma H/C IV,Buvuma H/C IV,UNHLS,Busoga,Muganda Joseph,Buvuma H/C IV,UNHLS,15/11/2024 07:40,Muganda Joseph,Picked,15/11/2024 07:40,20/11/2024 09:37,20/11/2024 21:11
L2403144770,VL DBS,1,Bikurungu H/C III,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,UNHLS,UNHLS,15/11/2024 07:40,\N,Received,13/11/2024 14:10,15/11/2024 02:40,15/11/2024 07:11
L2403162389,VL DBS,3,CRANE SURVEY,Buvuma H/C IV,UNHLS,Busoga,Muganda Joseph,CRANE SURVEY,UNHLS,15/11/2024 07:42,Muganda Joseph,Picked,15/11/2024 07:42,20/11/2024 09:37,\N
L2403126304,VL DBS,1,Lyakajura H/C III,Backup Hub,UNHLS,Mubende ,Bukenya Ronnie,UNHLS,UNHLS,15/11/2024 07:42,\N,Received,14/11/2024 18:54,15/11/2024 02:41,15/11/2024 07:11
L2403108137,VL DBS,1,Nyakishenyi H/C III,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,UNHLS,UNHLS,15/11/2024 07:44,\N,Received,13/11/2024 14:09,\N,15/11/2024 07:11
L2403162390,VL PLASMA,1,Buvuma H/C IV,Buvuma H/C IV,UNHLS,Busoga,Muganda Joseph,CRANE SURVEY,UNHLS,15/11/2024 07:45,Muganda Joseph,Delivered,15/11/2024 07:40,20/11/2024 09:37,20/11/2024 05:11
L2403162388,VL DBS,1,Buvuma H/C IV,Buvuma H/C IV,UNHLS,Busoga,Muganda Joseph,CRANE SURVEY,UNHLS,15/11/2024 07:45,Muganda Joseph,Delivered,15/11/2024 07:40,20/11/2024 09:37,20/11/2024 21:11
L2403144772,VL DBS,1,Rwakabengo H/C III,Nyakibale Hospital,UNHLS,Rwenzori,Joan Kiconco,UNHLS,UNHLS,15/11/2024 07:46,\N,Received,13/11/2024 14:11,\N,15/11/2024 07:11
L2310038260,VL DBS,1,Kigarama H/C III,Kitagata  Hospital,UNHLS,Teso,Muhumuza Samson,UNHLS,UNHLS,15/11/2024 07:47,\N,Received,13/11/2024 11:37,15/11/2024 02:35,15/11/2024 07:11
L2403162389,VL DBS,3,CRANE SURVEY,Buvuma H/C IV,UNHLS,Busoga,Muganda Joseph,CRANE SURVEY,UNHLS,15/11/2024 07:48,Muganda Joseph,Delivered,15/11/2024 07:42,20/11/2024 09:37,\N
L2403161103,VL DBS,1,Kisoro Hospital,Kisoro Hospital,UNHLS,Rwenzori,ARINAITWE EMMANUEL,UNHLS,UNHLS,15/11/2024 07:49,\N,Received,14/11/2024 07:31,15/11/2024 02:41,15/11/2024 07:11
L2403146299,VL DBS,1,Nyarubungo H/C III,Rwekubo H/C IV,Rwekubo H/C IV,Teso,Bigirwamukama Anthony,UNHLS,UNHLS,15/11/2024 07:54,\N,Received,12/11/2024 11:16,12/11/2024 13:48,15/11/2024 07:11
L2403092893,VL DBS,1,All Saints Buchanagandi H/C III,Pallisa General Hospital ,UNHLS,Karamoja,OKIRIA DANIEL,All Saints Buchanagandi H/C III,UNHLS,15/11/2024 07:55,OKIRIA DANIEL,Picked,15/11/2024 07:55,\N,\N
L2403126312,EID HIV,1,Mpumudde H/C III (Lyantonde),Lyantonde Hospital,UNHLS,Central,Robert Sseguya,UNHLS,UNHLS,15/11/2024 07:57,\N,Received,14/11/2024 15:41,15/11/2024 02:41,15/11/2024 07:11
L2403150969,VL PLASMA,1,Kajjansi H/C III,Entebbe Grade B Hospital,Entebbe Grade A Hospital,Central,Ssekajja Joshua,Kajjansi H/C III,Entebbe Grade A Hospital,15/11/2024 07:57,Ssekajja Joshua,Picked,15/11/2024 07:57,\N,26/11/2024 12:11
11547778,Monkey Pox,8,Yumbe Hospital,Yumbe Hospital,UNHLS,Eastern ,Muhumuza Isaac,Yumbe Hospital,\N,15/11/2024 07:57,Muhumuza Isaac,Picked,15/11/2024 07:57,29/11/2024 16:50,\N
L2403128636,VL PLASMA,19,Yumbe Hospital,Yumbe Hospital,Yumbe Hospital,Eastern ,Muhumuza Isaac,Yumbe Hospital,Yumbe Hospital,15/11/2024 07:57,Muhumuza Isaac,Picked,15/11/2024 07:57,\N,\N
2212414504,VL PLASMA,1,Double Cure Medical Centre,Mpigi H/C IV ,UNHLS,Central,Lwanga Muhamood,Mpigi H/C IV ,Mpigi H/C IV ,15/11/2024 07:57,sadat semanda,Received,12/11/2024 14:16,15/11/2024 20:21,15/11/2024 22:11
2212414503,EID HIV,3,Double Cure Medical Centre,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Double Cure Medical Centre,UNHLS,15/11/2024 07:58,sadat semanda,Picked,15/11/2024 07:58,16/11/2024 20:59,\N
L2403132214,VL DBS,1,Mitooma heath centre IV,Kitagata  Hospital,Mbarara R R Hospital,Teso,ENOCK TURIKUMWE,UNHLS,UNHLS,15/11/2024 07:58,\N,Received,14/11/2024 13:17,\N,15/11/2024 07:11
L2403055356,VL DBS,1,Buyiga H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Buyiga H/C III,UNHLS,15/11/2024 07:59,sadat semanda,Picked,15/11/2024 07:59,16/11/2024 20:59,16/11/2024 05:11
L2403055355,VL DBS,1,Bunjako H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Bunjako H/C III,UNHLS,15/11/2024 07:59,sadat semanda,Picked,15/11/2024 07:59,16/11/2024 20:59,16/11/2024 05:11
L2403055354,VL DBS,1,Ggolo H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Ggolo H/C III,UNHLS,15/11/2024 07:59,sadat semanda,Picked,15/11/2024 07:59,16/11/2024 20:59,16/11/2024 05:11
L2403055352,VL DBS,1,Donna Carnevale Medical Centre,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Donna Carnevale Medical Centre,UNHLS,15/11/2024 08:00,sadat semanda,Picked,15/11/2024 08:00,16/11/2024 20:59,16/11/2024 05:11
L2403055353,EID HIV,1,Donna Carnevale Medical Centre,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Donna Carnevale Medical Centre,UNHLS,15/11/2024 08:00,sadat semanda,Picked,15/11/2024 08:00,16/11/2024 20:59,\N
L2403055351,VL DBS,1,Nabyewanga H/C II,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Nabyewanga H/C II,UNHLS,15/11/2024 08:01,sadat semanda,Picked,15/11/2024 08:01,16/11/2024 20:59,\N
L2403055350,VL DBS,2,Nindye H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Nindye H/C III,UNHLS,15/11/2024 08:01,sadat semanda,Picked,15/11/2024 08:01,16/11/2024 20:59,\N
L2403055349,EID HIV,1,Nindye H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Nindye H/C III,UNHLS,15/11/2024 08:02,sadat semanda,Picked,15/11/2024 08:02,16/11/2024 20:59,\N
L2403055348,VL DBS,1,Kituntu H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Kituntu H/C III,UNHLS,15/11/2024 08:02,sadat semanda,Picked,15/11/2024 08:02,15/11/2024 20:08,16/11/2024 05:11
L2403055346,EID HIV,11,Nkozi Hospital ,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Nkozi Hospital ,UNHLS,15/11/2024 08:02,sadat semanda,Picked,15/11/2024 08:02,15/11/2024 20:09,\N
L2403055361,EID HIV,1,Mitala Maria H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Mitala Maria H/C III,UNHLS,15/11/2024 08:03,sadat semanda,Picked,15/11/2024 08:03,15/11/2024 20:09,\N
L2403055360,VL DBS,1,Mitala Maria H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Mitala Maria H/C III,UNHLS,15/11/2024 08:03,sadat semanda,Picked,15/11/2024 08:03,15/11/2024 20:09,16/11/2024 05:11
L2403055359,VL DBS,1,Buwama H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Buwama H/C III,UNHLS,15/11/2024 08:04,sadat semanda,Picked,15/11/2024 08:04,15/11/2024 20:09,16/11/2024 04:11
L2403055357,EID HIV,7,Buwama H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Buwama H/C III,UNHLS,15/11/2024 08:04,sadat semanda,Picked,15/11/2024 08:04,15/11/2024 20:22,\N
L2403055358,Sickle Cell (SCD),1,Buwama H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Buwama H/C III,UNHLS,15/11/2024 08:04,sadat semanda,Picked,15/11/2024 08:04,15/11/2024 20:22,\N
2212414504,VL PLASMA,1,Double Cure Medical Centre,Mpigi H/C IV ,UNHLS,Central,Lwanga Muhamood,Mpigi H/C IV ,Mpigi H/C IV ,15/11/2024 08:05,sadat semanda,Received,12/11/2024 14:16,15/11/2024 20:21,15/11/2024 22:11
2212414503,EID HIV,3,Double Cure Medical Centre,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Mpigi H/C IV ,UNHLS,15/11/2024 08:05,sadat semanda,Received,15/11/2024 07:58,16/11/2024 20:59,\N
L2403055356,VL DBS,1,Buyiga H/C III,Mpigi H/C IV ,UNHLS,Central,sadat semanda,Mpigi H/C IV ,UNHLS,15/11/2024 08:05,sadat semanda,Received,15/11/2024 07:59,16/11/2024 20:59,16/11/2024 05:11
